id,customerId,amount,itemPurchased,purchasedAt
1,1,78,"Premium Leather Boots",2025-10-11T21:54:24.346Z
2,1,37,"Running Shoes",2025-07-18T21:54:24.346Z
3,2,27,"Wool Trench Coat",2026-01-09T21:54:24.346Z
4,2,22,"Hydro Flask",2025-08-25T21:54:24.346Z
5,2,444,"Acoustic Guitar",2025-09-24T21:54:24.346Z
6,2,71,"Coffee Beans Blend",2025-07-10T21:54:24.346Z
7,3,83,"Leather Bag",2025-10-02T21:54:24.346Z
8,4,251,"Espresso Machine",2026-01-20T21:54:24.346Z
9,4,58,"Hydro Flask",2026-05-02T21:54:24.346Z
10,6,57,"Mechanical Keyboard",2025-11-18T21:54:24.346Z
11,6,90,"Leather Wallet",2025-06-15T21:54:24.346Z
12,6,219,"Espresso Machine",2025-07-04T21:54:24.346Z
13,7,59,"Noise Cancelling Headphones",2025-11-28T21:54:24.346Z
14,7,65,"Ergonomic Desk Chair",2025-06-24T21:54:24.346Z
15,8,59,"Premium Leather Boots",2025-12-12T21:54:24.346Z
16,8,68,"Mechanical Keyboard",2026-05-16T21:54:24.346Z
17,9,31,"Designer Sunglasses",2025-07-10T21:54:24.346Z
18,9,69,"Premium Leather Boots",2025-11-17T21:54:24.346Z
19,9,94,"Coffee Beans Blend",2025-09-24T21:54:24.346Z
20,10,45,"Silk Summer Dress",2025-12-03T21:54:24.346Z
21,10,39,"Denim Jeans",2025-08-02T21:54:24.346Z
22,12,86,"Silk Summer Dress",2026-02-21T21:54:24.346Z
23,13,26,"White Sneakers",2025-07-14T21:54:24.346Z
24,13,99,"Fleece Jacket",2026-04-01T21:54:24.346Z
25,13,71,"Oversized Hoodie",2025-06-22T21:54:24.346Z
26,13,753,"Diamond Ring",2025-10-22T21:54:24.346Z
27,14,65,"Ergonomic Desk Chair",2025-09-15T21:54:24.346Z
28,14,613,"Pearl Necklace",2026-04-16T21:54:24.346Z
29,16,34,"Leather Wallet",2025-06-20T21:54:24.346Z
30,16,36,"Wireless Earbuds",2025-10-10T21:54:24.346Z
31,16,40,"Denim Jeans",2026-01-06T21:54:24.346Z
32,18,80,"Perfume Oud",2025-06-29T21:54:24.346Z
33,20,69,"Perfume Oud",2025-10-30T21:54:24.346Z
34,21,687,"Pearl Necklace",2026-04-25T21:54:24.346Z
35,21,16,"Cotton T-Shirt",2025-09-15T21:54:24.346Z
36,21,25,"Leather Wallet",2026-03-31T21:54:24.346Z
37,21,71,"Silk Summer Dress",2025-06-18T21:54:24.346Z
38,22,53,"Wireless Earbuds",2026-04-22T21:54:24.346Z
39,22,50,"Coffee Beans Blend",2025-12-14T21:54:24.346Z
40,22,91,"Wireless Earbuds",2025-12-24T21:54:24.346Z
41,22,459,"Diamond Ring",2025-07-19T21:54:24.346Z
42,23,25,"Cotton T-Shirt",2025-12-19T21:54:24.346Z
43,23,95,"Silk Summer Dress",2026-01-13T21:54:24.346Z
44,24,92,"Leather Bag",2025-08-11T21:54:24.346Z
45,25,42,"Oversized Hoodie",2026-04-14T21:54:24.346Z
46,25,21,"Fleece Jacket",2026-05-05T21:54:24.346Z
47,25,48,"Designer Sunglasses",2025-10-23T21:54:24.346Z
48,26,24,"Perfume Oud",2025-09-26T21:54:24.346Z
49,26,89,"Premium Leather Boots",2026-05-29T21:54:24.346Z
50,26,31,"Designer Sunglasses",2025-09-01T21:54:24.346Z
